95,75,10,2021-07-02--2021-07-09,Ram Pam Pam,7064003,"Natti Natasha, Becky G",6341942,4DHDIdeayp8xvlyg22wREO,2021-04-20,86
96,96,4,2021-07-23--2021-07-30,In Da Getto,6984262,"J Balvin, Skrillex",1250353,5lGtPshEJlsJgmqKLi41LY,2021-08-12,2
97,97,3,2021-07-23--2021-07-30,Woman,6858466,Doja Cat,8640063,6Uj1ctrBOjOas8xZXGqKk4,2021-06-25,86
98,60,8,2021-06-18--2021-06-25,t r a n s p a r e n t s o u l feat. Travis Barker,6853994,WILLOW,1521837,1QL7nSDZCwZMnbisV4KOXt,2021-04-27,85
99,99,2,2021-07-23--2021-07-30,Clash (feat. Stormzy),6825463,Dave,1427540,2oUwMN5VfdGX10XeQJLBBi,2021-07-08,79
100,22,83,2020-02-07--2020-02-14,Before You Go,6813800,Lewis Capaldi,8384096,2gMXnyrvIjhVBUZwvLZDMP,2019-11-22,83
101,52,19,2020-03-27--2020-04-03,Levitating,6799831,Dua Lipa,27142474,463CkQjx2Zk1yXoBuierM9,2020-10-01,89
102,85,5,2021-07-09--2021-07-16,Reckless,6711375,Madison Beer,3363988,5ajjAnNRh8bxFvaVHzpPjh,2021-06-04,86
103,103,5,2021-07-23--2021-07-30,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",6709106,BANDIDO,16074,7COGuXyTr12KvdaYXMqheC,2021-06-16,85
104,88,83,2020-06-26--2020-07-03,Believer,6699895,Imagine Dragons,35285425,0pqnGHJpmpxLKifKRmU6WP,2017-06-23,86
105,2,48,2020-10-16--2020-10-23,"Lemonade (feat. Gunna, Don Toliver & NAV)",6697067,Internet Money,411579,02kDW379Yfd5PzW5A6vuGt,2020-08-14,82
106,45,19,2021-04-30--2021-05-07,Talking to the Moon,6660319,Bruno Mars,32574754,161DnLWsx1i3u1JT05lzqU,2010-10-05,83
107,3,83,2020-06-19--2020-06-26,Roses - Imanbek Remix,6653690,SAINt JHN,742692,0zLCBJZSiELJf02ucPP9wb,2020-11-20,72
108,59,11,2021-06-04--2021-06-11,Sal y Perrea,6635076,Sech,8758283,5u7twkeask1VIyDeNTElSU,2021-04-15,86
109,109,3,2021-07-23--2021-07-30,Fulanito,6614072,"Becky G, El Alfa",10356559,59L8x0xy8njj75vzVCPMqg,2021-06-03,86
110,110,1,2021-07-23--2021-07-30,París,6584896,Ingratax,56699,4bF2y8rR7GUjrd5LNEvej3,2021-07-09,86
111,46,83,2020-04-17--2020-04-24,lovely (with Khalid),6569547,Billie Eilish,47014200,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,86
112,24,83,2019-12-27--2020-01-03,Sunflower - Spider-Man: Into the Spider-Verse,6546948,"Post Malone, Swae Lee",1250353,3KkXRkHbMCARz0aVfEt68P,2018-12-14,82
113,113,3,2021-07-23--2021-07-30,double take,6539852,dhruv,73211,2CVChktEKBsM6v4IfdFU5k,2019-05-24,86
114,9,29,2021-02-05--2021-02-12,Streets,6502302,Doja Cat,8640063,60ynsPSSKe6O3sfwRnIBRf,2019-11-07,86
115,80,8,2021-06-04--2021-06-11,By Your Side (feat. Tom Grennan),6488622,Calvin Harris,21942793,0vR2rIVORmgeKiGIgNT0fV,2021-06-04,85
116,116,3,2021-07-23--2021-07-30,MORENA,6469500,Luan Santana,5420471,4PQdrXMDHDPl1RczrrlADd,2021-06-17,85
117,80,80,2019-12-27--2020-01-03,Shape of You,6452492,Ed Sheeran,83293380,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,85
118,9,83,2019-12-27--2020-01-03,Señorita,6317487,"Shawn Mendes, Camila Cabello",33879560,0TK2YIli7K1leLovkQiNik,2019-06-21,82
119,5,21,2021-03-19--2021-03-26,Hold On,6300416,Justin Bieber,1250353,49xx65gvlD7xXjDTavFqaJ,2021-08-13,0
120,99,83,2020-07-24--2020-07-31,Perfect,6278765,Ed Sheeran,83293380,0tgVpDi06FyKpA1z0VMD4v,2017-03-03,86
121,80,5,2021-07-02--2021-07-09,2:50 Remix,6244011,"MYA, TINI, Duki",282045,74znaWw1hmQBusGPSOuTFy,2021-06-21,85
122,2,35,2020-11-27--2020-12-04,LA NOCHE DE ANOCHE,6242863,"Bad Bunny, ROSALÍA",36142273,2XIc1pqjXV3Cr2BQUGNBck,2020-11-27,86
123,1,67,2020-07-17--2020-07-24,ROCKSTAR (feat. Roddy Ricch),6180056,DaBaby,7593046,7ytR5pFWmSjzHJIeQkgog4,2020-04-17,86
124,12,53,2020-09-04--2020-09-11,Heather,6164795,Conan Gray,3794081,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,86
125,13,55,2020-10-16--2020-10-23,you broke me first,6152121,Tate McRae,1647262,45bE4HXI0AwGZXfZtMp8JR,2020-04-17,86
126,126,18,2021-07-23--2021-07-30,The Nights,6136340,Avicii,20270895,0ct6r3EGTcMLPtrXHDvVjc,2014-01-01,85
127,122,37,2021-07-16--2021-07-23,Riptide,6089242,Vance Joy,2421254,3JvrhDOgAt6p7K8mDyZwRd,2014-09-09,78
128,128,30,2021-07-23--2021-07-30,Smells Like Teen Spirit,6065267,Nirvana,13261089,5ghIJDpPoe3CfHMGu71E6T,1991-09-26,77
129,11,10,2021-05-21--2021-05-28,enough for you,6040918,Olivia Rodrigo,6266514,2TOzTqQXNmR2zDJXihjZ2e,2021-05-21,86
130,99,42,2021-02-05--2021-02-12,Daddy Issues,6014443,The Neighbourhood,6662605,5E30LdtzQTGqRvNd7l6kG5,2015-10-30,85
131,131,3,2021-07-23--2021-07-30,Aquelas Coisas,6012839,João Gomes,409173,0FqVtQxRD3HsPltldG5v5M,2021-06-01,84
132,19,12,2021-05-07--2021-05-14,Miss The Rage (feat. Playboi Carti),5952490,Trippie Redd,6430522,2BITQ360Knh6qNAOqR7Dyq,2021-05-07,85
133,4,83,2019-12-27--2020-01-03,Memories,5928329,Maroon 5,32262679,4cktbXiXOapiLBMprHFErI,2021-06-11,85
134,76,16,2021-04-23--2021-04-30,Another Love,5914661,Tom Odell,1838616,7otCGmgp9h4CsR2LhwB6gt,2013-09-17,67
135,135,4,2021-07-23--2021-07-30,Here's Your Perfect,5912784,Jamie Miller,64288,2aTKrdenCq5qBOoJPFdn4P,2021-04-30,85
136,108,37,2021-04-30--2021-05-07,Take Me To Church,5907750,Hozier,4781906,1CS7Sd1u5tWkstBhpssyjP,2014-09-19,74
137,110,13,2021-07-02--2021-07-09,Little Bit of Love,5848466,Tom Grennan,261225,2sX7lJXsOYGP1Us6CqM9t1,2021-01-08,80
138,138,4,2021-07-23--2021-07-30,Ficha Limpa,5847975,Gusttavo Lima,12969190,5SwyN9hzmWjBsINlif8li8,2021-06-19,85
139,14,25,2021-03-26--2021-04-02,Up,5845156,Cardi B,17353707,1XXimziG1uhM0eDNCZCrUl,2021-02-05,83
140,2,52,2020-09-04--2020-09-11,Hawái,5769714,Maluma,26769304,0GzuHFG4Ql6DoyxFRnIk3F,2020-11-05,77
141,141,1,2021-07-23--2021-07-30,New Normal,5768653,Khalid,14187747,2CIYemjFXdmCWpJnfbtrD6,2021-07-21,79
142,81,81,2019-12-27--2020-01-03,Bohemian Rhapsody - Remastered 2011,5756583,Queen,35888760,7tFiyTwD0nx5a1eklYtX2J,1975-11-21,74
143,5,32,2021-02-05--2021-02-12,Bandido,5734402,"Myke Towers, Juhn",6150675,1xK1Gg9SxG8fy2Ya373oqb,2020-12-10,85
144,25,39,2021-02-05--2021-02-12,Paradise (feat. Dermot Kennedy),5693848,MEDUZA,441674,6ft4hAq6yde8jPZY2i5zLr,2020-10-30,85
145,13,83,2020-04-24--2020-05-01,goosebumps,5691540,Travis Scott,17719446,5uEYRdEIh9Bo4fpjDd4Na9,2021-01-15,87
146,90,18,2021-05-28--2021-06-04,Wasted Love (feat. Lagique),5690260,Ofenbach,432581,2pPO9YecZimmuVQfIzfV6U,2021-01-08,85
147,100,2,2021-07-16--2021-07-23,KESI - Remix,5682062,"Camilo, Shawn Mendes",10561047,0IqCoZ168iRc9LqfrYgpZy,2021-07-14,83
148,59,83,2020-01-03--2020-01-10,Shallow,5672480,"Lady Gaga, Bradley Cooper",18572085,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,83
149,110,9,2021-05-28--2021-06-04,Tell Em,5668576,"Cochise, $NOT",159647,7nc7mlSdWYeFom84zZ8Wr8,2021-05-28,85
150,103,5,2021-07-02--2021-07-09,"Não, Não Vou",5652272,Mari Fernandez,15889,0xBQvhJAm6f7J142ympKOn,2021-04-29,84
151,147,24,2021-06-18--2021-06-25,Counting Stars,5647568,OneRepublic,12169108,6sy3LkhNFjJWlaeSMNwQ62,2014-01-01,74
152,121,32,2021-05-07--2021-05-14,Yellow,5628703,Coldplay,31151294,3AJwUDP919kvQ9QcozQPxg,2000-07-10,85
153,153,1,2021-07-23--2021-07-30,Como Si No Importara,5627257,"Emilia, Duki",205590,1GYJpuLq41vEVKXiHGEY9j,2021-07-13,83
154,154,1,2021-07-23--2021-07-30,Se For Amor,5618268,"João Gomes, Vitor Fernandes",409173,5F2xRvRFkxDvqdFtUNAEyw,2021-06-01,81
155,142,23,2021-05-28--2021-06-04,Wake Me Up,5607285,Avicii,20270895,0nrRP2bk19rLc0orkWPQk2,2013-01-01,84
156,128,7,2021-07-09--2021-07-16,Baby Me Atende,5594505,"Matheus Fernandes, Dilsinho",77034,5R9KPXQVeyqsHZoPLMgfNy,2021-02-26,83
157,68,6,2021-07-02--2021-07-09,Ramenez la coupe à la maison,5576844,Vegedream,1250353,0dqVP9CnGjaYNjya3gYbYy,2021-08-13,0
158,6,47,2020-11-06--2020-11-13,What You Know Bout Love,5570735,Pop Smoke,6837946,1tkg4EHVoqnhR6iFEXb60y,2020-07-03,85
159,19,18,2021-04-23--2021-04-30,Runaway,5566150,AURORA,1687399,0TCmhnbMpw5zwPsTvlXTJi,2014,77
160,121,5,2021-07-09--2021-07-16,Red Light Green Light,5493760,DaBaby,7593046,1YDebgap5OFwXEBG18NJvy,2021-06-25,84
161,120,5,2021-06-18--2021-06-25,Ball If I Want To,5478055,DaBaby,7593046,0cu0rhnlCnJ7JIeHRiLpj3,2021-06-18,84
